epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1011.51,0.77903,0.54994,1.07644,0.94679,0.8775,0.92745,0.76609,0.76409,0.53321,1.07042,0.0012971,0.0012971,0.0012971
73,1025.66,0.77537,0.56426,1.07349,0.97022,0.88664,0.93315,0.77439,0.74983,0.5258,1.05993,0.0012872,0.0012872,0.0012872
74,1040.05,0.77576,0.54688,1.06498,0.96491,0.87925,0.92655,0.7724,0.75504,0.53769,1.05088,0.0012773,0.0012773,0.0012773
75,1054.2,0.79163,0.56125,1.07886,0.97024,0.88946,0.92855,0.76889,0.75174,0.53045,1.05196,0.0012674,0.0012674,0.0012674
76,1068.47,0.7809,0.54275,1.07075,0.97546,0.87895,0.9328,0.76281,0.75492,0.52241,1.05303,0.0012575,0.0012575,0.0012575
77,1082.82,0.77811,0.56429,1.07545,0.97916,0.87887,0.93015,0.76792,0.75698,0.52375,1.06685,0.0012476,0.0012476,0.0012476
78,1097.19,0.75848,0.53557,1.06553,0.95514,0.88776,0.91822,0.76651,0.76304,0.5403,1.05642,0.0012377,0.0012377,0.0012377
79,1111.39,0.77539,0.54462,1.07578,0.95927,0.87925,0.92788,0.77079,0.73904,0.53413,1.05759,0.0012278,0.0012278,0.0012278
80,1125.64,0.76778,0.53684,1.07095,0.93641,0.87656,0.92664,0.77331,0.75311,0.55428,1.06829,0.0012179,0.0012179,0.0012179
81,1139.99,0.76004,0.53952,1.06951,0.95752,0.88605,0.93543,0.78328,0.71444,0.52284,1.04815,0.001208,0.001208,0.001208
82,1154.54,0.78639,0.56,1.08443,0.95196,0.89626,0.9283,0.77635,0.73562,0.53573,1.05938,0.0011981,0.0011981,0.0011981
83,1169.03,0.77349,0.5486,1.08037,0.95153,0.86813,0.92638,0.77415,0.74997,0.5413,1.05565,0.0011882,0.0011882,0.0011882
84,1183.58,0.76401,0.55494,1.07843,0.94915,0.88886,0.9246,0.77099,0.73802,0.54389,1.05727,0.0011783,0.0011783,0.0011783
85,1198.2,0.75153,0.52903,1.06491,0.95404,0.88946,0.9304,0.77631,0.73775,0.51291,1.05373,0.0011684,0.0011684,0.0011684
86,1214.31,0.76158,0.55225,1.07356,0.95225,0.88174,0.92662,0.78428,0.74067,0.52709,1.05876,0.0011585,0.0011585,0.0011585
87,1230.29,0.75704,0.52083,1.06889,0.96016,0.87755,0.9323,0.77635,0.7425,0.52809,1.06181,0.0011486,0.0011486,0.0011486
88,1246.52,0.74675,0.52757,1.0624,0.95559,0.87829,0.92253,0.77051,0.76736,0.53639,1.06844,0.0011387,0.0011387,0.0011387
89,1262.54,0.76373,0.53741,1.07257,0.93998,0.88776,0.92452,0.77926,0.72545,0.5244,1.05601,0.0011288,0.0011288,0.0011288
90,1278.72,0.75103,0.52394,1.06007,0.95519,0.87005,0.92722,0.78193,0.73121,0.54249,1.0671,0.0011189,0.0011189,0.0011189
91,1294.16,0.75273,0.53279,1.06492,0.96238,0.88265,0.92649,0.77607,0.74422,0.52881,1.061,0.001109,0.001109,0.001109
92,1309.77,0.72785,0.51426,1.05053,0.93446,0.89722,0.92025,0.77544,0.71808,0.5482,1.04093,0.0010991,0.0010991,0.0010991
93,1324.83,0.74063,0.52345,1.05677,0.97242,0.88095,0.9289,0.78382,0.73104,0.51331,1.05921,0.0010892,0.0010892,0.0010892
94,1340.64,0.73376,0.52803,1.06284,0.9716,0.87284,0.93177,0.78672,0.72407,0.52552,1.04546,0.0010793,0.0010793,0.0010793
95,1355.31,0.74463,0.52179,1.05432,0.96267,0.87717,0.93367,0.7846,0.7399,0.50086,1.05026,0.0010694,0.0010694,0.0010694
96,1369.93,0.72888,0.51004,1.05267,0.96729,0.87925,0.93145,0.78288,0.73268,0.51489,1.05074,0.0010595,0.0010595,0.0010595
97,1390.28,0.73295,0.50998,1.05447,0.94966,0.87415,0.9294,0.77493,0.77454,0.53607,1.07099,0.0010496,0.0010496,0.0010496
98,1411.58,0.73412,0.52146,1.05395,0.96393,0.86735,0.93007,0.77692,0.74252,0.52255,1.05514,0.0010397,0.0010397,0.0010397
99,1434.99,0.72742,0.50106,1.03913,0.97698,0.86604,0.92933,0.77745,0.73659,0.51346,1.05303,0.0010298,0.0010298,0.0010298
100,1456.2,0.73108,0.51244,1.05927,0.97554,0.86054,0.92874,0.77777,0.73406,0.53712,1.04994,0.0010199,0.0010199,0.0010199
101,1478.01,0.74357,0.52113,1.06345,0.95958,0.88831,0.92943,0.78095,0.73788,0.51361,1.05638,0.00101,0.00101,0.00101
102,1502.32,0.73419,0.50777,1.04947,0.95589,0.89456,0.93381,0.79108,0.71234,0.49875,1.03932,0.0010001,0.0010001,0.0010001
103,1522.27,0.70223,0.48582,1.03103,0.97482,0.88095,0.93681,0.79247,0.71772,0.51581,1.0347,0.0009902,0.0009902,0.0009902
104,1541.95,0.70869,0.48972,1.04147,0.97566,0.87245,0.93332,0.78438,0.72881,0.52049,1.05313,0.0009803,0.0009803,0.0009803
105,1562.25,0.7171,0.50119,1.04582,0.97604,0.88605,0.93153,0.77672,0.73348,0.50477,1.05193,0.0009704,0.0009704,0.0009704
106,1584.13,0.71053,0.49986,1.04465,0.97991,0.87755,0.932,0.7875,0.73887,0.5086,1.05593,0.0009605,0.0009605,0.0009605
107,1606.19,0.71976,0.50763,1.05163,0.97627,0.87415,0.93701,0.78885,0.71757,0.50687,1.0403,0.0009506,0.0009506,0.0009506
108,1627.83,0.69643,0.49124,1.04191,0.95314,0.89456,0.9336,0.78499,0.71701,0.51238,1.0448,0.0009407,0.0009407,0.0009407
109,1651.17,0.70668,0.48819,1.0384,0.95428,0.88736,0.92685,0.78225,0.73379,0.51157,1.05929,0.0009308,0.0009308,0.0009308
110,1671.94,0.69266,0.48303,1.03106,0.97631,0.86565,0.93232,0.78169,0.73874,0.50548,1.04729,0.0009209,0.0009209,0.0009209
111,1692.87,0.70261,0.49914,1.04483,0.96965,0.86923,0.93148,0.78487,0.72877,0.51589,1.05206,0.000911,0.000911,0.000911
112,1709,0.71624,0.49791,1.04486,0.97327,0.85714,0.92978,0.78152,0.72811,0.52188,1.04148,0.0009011,0.0009011,0.0009011
113,1726.13,0.70426,0.48326,1.0318,0.95262,0.89456,0.93243,0.78735,0.7093,0.50097,1.04322,0.0008912,0.0008912,0.0008912
114,1745.16,0.70742,0.49424,1.03736,0.97812,0.87585,0.93234,0.78091,0.72668,0.51118,1.04613,0.0008813,0.0008813,0.0008813
115,1762.84,0.70754,0.49045,1.0381,0.96861,0.87075,0.92409,0.78326,0.72846,0.51138,1.04542,0.0008714,0.0008714,0.0008714
116,1780.46,0.71382,0.49347,1.04406,0.95147,0.89286,0.93243,0.79243,0.70778,0.50512,1.03589,0.0008615,0.0008615,0.0008615
